servicioResponsable,descripcion,codigo,ejecutado,estado,ano,gastadoAnosAnteriores,servicioResponsableEjecucion,fechaRegistro,etapa,fuenteFinanciamiento,solicitado,rate,nombreIniciativa,provision,unidadTecnica,comuna,georeferenciacion,totalBeneficiarios,id,tipoIniciativa,sector
Gobierno Regional,EN EJECUCION,30073208,,null,2008,0,,null,6,31.02,7030000,0,"TRANSFERENCIA PRACTICAS AMBIENTALES CEA, LAS MAITAS ARICA",,null,Arica,[],0,1,EJECUCION,Silvoagropecuario
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067782,,null,2008,18790000,,null,6,31.01,3171000,0,"REPOSICION EQUIPOS RADIOCOMUNICACION VHF, COM. PUTRE",,null,Putre,[],0,1,EJECUCION,Silvoagropecuario
Gobierno Regional,EN EJECUCION,30071261,,null,2008,0,,null,5,31.01,5500000,0,"AMPLIACION CENTRO EDUCACION AMBIENTAL LAS MAITAS, ARICA",,null,Arica,"[{x:372370,y:7952320,ogc:32719}]",0,1,EJECUCION,Silvoagropecuario
Gobierno Regional,EN CONTRATACION,30070884,,null,2008,0,,null,5,31.01,37743000,0,CONSTRUCCION PROTECCIONES DE PREDIOS AGRICOLAS CAUCE Q. VITOR.,,null,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN REEVALUACION,20155044,,null,2008,0,,null,6,31.01,978000,0,"CONSTRUCCION ESTANQUE LLUSCUMA, PUTRE",,null,Putre,[],0,1,EJECUCION,Silvoagropecuario
Gobierno Regional,EN EJECUCION,20155596,,null,2008,0,,null,6,31.01,81787000,0,MEJORAMIENTO CANALES SECTOR ALFALFANE Y TAPI - UPULLA TICNAMAR,,null,Arica,[],0,1,EJECUCION,Silvoagropecuario
Gobierno Regional,FINANCIA ACCIONES CONC.,30035361,,null,2008,0,,null,6,31.01,215680000,0,"INSTALACION SISTEMA DE AGUA POTABLE RURAL DE ZAPAHUIRA, PUTRE",,Gobierno Regional,Putre,[],0,1,EJECUCION,Agua Potable y Alcantarillado
Gobierno Regional,EN REEVALUACION,30003715,,null,2008,0,,null,6,31.01,70470000,0,"MEJORAMIENTO CANAL CHACACAGUA POBLADO DE SOCOROMA, PUTRE",,null,Putre,[],0,1,EJECUCION,Silvoagropecuario
Gobierno Regional,TERMINADO O EN LIQUIDACION,30059944,,null,2008,0,,null,6,31.01,49233000,0,"REPOSICION MOBILIARIO ESCOLAR ESCUELAS ,COMUNA DE PUTRE",,Gobierno Regional,Putre,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30062730,,null,2008,0,,null,5,31.01,21824000,0,"REPOSICION POSTACION PUBLICA,  ALCERRECA, TACORA, ANCOLACANE.",,Gobierno Regional,General Lagos,[],0,1,EJECUCION,null
Gobierno Regional,POR LICITAR,30063815,,null,2008,0,,null,6,31.01,58482000,0,"REPOSICION BUS ESCOLAR, ESCUELAS  COMUNA DE CAMARONES",,Gobierno Regional,Camarones,[],0,1,EJECUCION,null
Gobierno Regional,EN ADJUDICACION,30071225,,null,2008,400000,,null,6,31.01,20148000,0,"HABILITACION SECTOR DE EMPLAZAMIENTO MUSEO DE SITIO COLON 10, ARICA",,Gobierno Regional,Arica,[],0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30075559,,null,2008,0,,null,6,31.01,134909000,0,ADQUISICION EQUIPOS DE RESPIRACION AUTONOMA CUERPO DE BOMBEROS,,Gobierno Regional,Arica,[],0,1,EJECUCION,Defensa y Seguridad
Gobierno Regional,EN EJECUCION,30075903,,null,2008,0,,null,6,31.01,166699000,0,MEJORAMIENTO INFRAESTRUCTURA ORGANIZACIONES SOCIALES DE ARICA Y PARINACOTA,,Gobierno Regional,Regional,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,30075905,,null,2008,0,,null,0,31.01,116615000,0,EQUIPAMIENTO ORGANIZACIONES SOCIALES DE ARICA Y PARINACOTA,,Gobierno Regional,Regional,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,null,30083629,,14,2011,0,,null,6,31.02,3212765000,1,"REPOSICION RUTA 11-CH, ARICA-T.QUEM. S:ACC MINA CHOQUE-COTACOTANI",,null,Regional,"[{x:470708,y:7983835,ogc:32719},{x:471118,y:7984143,ogc:32719},{x:471630,y:7984450,ogc:32719},{x:471630,y:7984962,ogc:32719},{x:471938,y:7985167,ogc:32719},{x:472655,y:7985270,ogc:32719},{x:473680,y:7985270,ogc:32719},{x:474192,y:7985270,ogc:32719},{x:475012,y:7985782,ogc:32719},{x:475729,y:7985782,ogc:32719},{x:476344,y:7985885,ogc:32719},{x:477266,y:7985680,ogc:32719},{x:478291,y:7985270,ogc:32719},{x:479008,y:7984962,ogc:32719},{x:479520,y:7984655,ogc:32719},{x:480135,y:7984655,ogc:32719},{x:480648,y:7983835,ogc:32719},{x:480750,y:7983118,ogc:32719},{x:481160,y:7982503,ogc:32719},{x:481775,y:7981581,ogc:32719},{x:482287,y:7980659,ogc:32719},{x:482902,y:7979942,ogc:32719},{x:483619,y:7979942,ogc:32719},{x:484541,y:7980146,ogc:32719},{x:485054,y:7979737,ogc:32719},{x:485566,y:7978814,ogc:32719},{x:486386,y:7979019,ogc:32719},{x:487410,y:7979122,ogc:32719},{x:488333,y:7979019,ogc:32719},{x:489255,y:7979122,ogc:32719},{x:490279,y:7978917,ogc:32719},{x:491099,y:7978609,ogc:32719},{x:491919,y:7978302,ogc:32719},{x:470606,y:7983938,ogc:32719},{x:470298,y:7984143,ogc:32719},{x:469991,y:7984348,ogc:32719},{x:470196,y:7984757,ogc:32719},{x:469889,y:7985475,ogc:32719},{x:469376,y:7985680,ogc:32719},{x:468761,y:7985885,ogc:32719},{x:468454,y:7985885,ogc:32719},{x:467839,y:7985987,ogc:32719},{x:467737,y:7985577,ogc:32719},{x:467532,y:7985577,ogc:32719},{x:467122,y:7985475,ogc:32719},{x:466610,y:7985577,ogc:32719},{x:466405,y:7985577,ogc:32719},{x:465995,y:7985680,ogc:32719},{x:465687,y:7986090,ogc:32719},{x:465380,y:7986397,ogc:32719},{x:464868,y:7986704,ogc:32719},{x:464355,y:7986807,ogc:32719},{x:463945,y:7987012,ogc:32719},{x:463536,y:7987217,ogc:32719},{x:463023,y:7987524,ogc:32719},{x:462716,y:7987729,ogc:32719},{x:462203,y:7987831,ogc:32719},{x:461999,y:7988139,ogc:32719},{x:461384,y:7988446,ogc:32719},{x:460871,y:7988651,ogc:32719},{x:460462,y:7988856,ogc:32719},{x:459847,y:7989369,ogc:32719},{x:459642,y:7989676,ogc:32719},{x:459027,y:7989881,ogc:32719},{x:458515,y:7990188,ogc:32719},{x:457490,y:7990393,ogc:32719},{x:456978,y:7990393,ogc:32719},{x:456465,y:7989778,ogc:32719},{x:456055,y:7989573,ogc:32719},{x:455543,y:7989676,ogc:32719},{x:455543,y:7989778,ogc:32719},{x:364384,y:7957967,ogc:32719}]",2000000,1,EJECUCION,Transporte
Gobierno Regional,EN EJECUCION,20157341,,null,2008,182302000,,null,6,31.01,47000000,0,AMPLIACION MUSEO AZAPA- SALA DE EXHIBICION  CULTURA CHINCHORR,,Gobierno Regional,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN LICITACION,30045547,,null,2008,0,,null,6,31.01,0,0,"REPOSICION COMPLEJO DPTV RECREACIONAL INTEGRAL - UTA, REGION XV",,Gobierno Regional,Arica,"[{x:363347,y:7955031,ogc:32719}]",0,1,EJECUCION,Deportes
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067629,,null,2008,167647000,,null,6,31.01,200000,0,ADQUISICION CARROS ALJIBE CUERPO DE BOMBEROS DE ARICA,,Gobierno Regional,Arica,[],0,1,EJECUCION,Defensa y Seguridad
Gobierno Regional,EN EJECUCION,30074308,,null,2008,0,,null,6,31.01,65106000,0,null,,Gobierno Regional,Regional,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30035869,,null,2008,5096000,,null,5,31.01,2218000,0,CONSTRUCCION  J.I.  SOMBRERITO EN ARICA,,Gobierno Regional,Arica,"[{x:363106,y:7956606,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,BASES ADM. EN CURSO,30079366,,null,2008,0,,null,3,31.01,0,0,CONSTRUCCION EDIFICIO GORE ARICA Y PARINACOTA,,Gobierno Regional,Arica,"[{x:360560,y:7956601,ogc:32719}]",0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,30079365,,null,2008,0,,null,6,31.02,133100000,0,null,,Gobierno Regional,Regional,"[{x:418322,y:7958569,ogc:32719}]",0,1,EJECUCION,Multisectorial
Gobierno Regional,EN REEVALUACION,20181839,,null,2008,0,,null,6,31.01,191191000,0,"CONSTRUCCION JARDIN INFANTIL CON SALA CUNA, SECTOR TACORA, ARICA",,null,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN REEVALUACION,30046467,,null,2008,0,,null,6,31.01,186016000,0,"CONSTRUCCION JARDIN INFANTIL CON SALA CUNA, CHINCHORRO ORIENTE, ARICA",,null,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN CONTRATACION,30065612,,null,2008,0,,null,6,31.01,60000000,0,CONSTRUCCION MODULO SALA CUNA Y SALA MULTIUSO J.INF CAMPANITA,,null,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30065614,,null,2008,100000,,null,6,31.01,169850000,0,CONSTRUCCION MODULO SALA CUNA Y SLA MULTIUSO J.INF RAYITO DE SOL,,null,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30066812,,null,2008,100000,,null,6,31.01,165112000,0,CONSTRUCCION MODULO SALA CUNA Y SLA MULTIUSO J.INF AVIONCITO,,null,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN CONTRATACION,30066813,,null,2008,0,,null,6,31.01,272744000,0,CONSTRUCCION MODULO SALA CUNA Y SLA MULTIUSO J.INF DUMBO,,null,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,20189120,,null,2008,91136000,,null,6,31.01,96550000,0,CONSTRUCCION CENTRO EXPERIMENTAL APRENDIZAJE LICEO POLITECNICO ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30005429,,null,2008,292648000,,null,6,31.01,73046000,0,REPOSICION VILLA ALBERGUE DE ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN ADJUDICACION,30037469,,null,2008,0,,null,6,31.01,190262000,0,null,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,BASES ADM. EN CURSO,30060275,,null,2008,0,,null,6,31.01,22316000,0,MEJORAMIENTO POSTAS RURALES SOBRAYA Y POCONCHILE ARICA,,I. Municipalidad de Arica,Arica,"[{x:387952,y:7959684,ogc:32719},{x:388098,y:7946346,ogc:32719}]",0,1,EJECUCION,Salud
Gobierno Regional,EN CONTRATACION,30060292,,null,2008,600000,,null,6,31.01,43282000,0,REPOSICION EQUIPAMIENTO MEDICO SERVICIO MUNICIPAL DE SALUD ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Salud
Gobierno Regional,EN CONTRATACION,30061751,,null,2008,0,,null,6,31.01,25892000,0,CONSTRUCCION ALUMBRADO PUBLICO PLAZAS ROTO CHILENO Y COLON,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30061752,,null,2008,650000,,null,6,31.01,91188000,0,CONSTRUCCION ALUMBRADO PUBLICO CAMINO ACCESO VEHIC. MORRO DE ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30066403,,null,2008,700000,,null,5,31.01,10394000,0,REPOSICION SISTEMA DE ALARMA  DE TSUNAMI COMUNA  DE ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Defensa y Seguridad
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067934,,null,2008,650000,,null,6,31.01,36034000,0,null,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN CONTRATACION,30071117,,null,2008,0,,null,6,31.01,79244000,0,CONSTRUC. ALUMBRADO PUBLICO PLAYA CHINCHORRO NORTE ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN CONTRATACION,30075708,,null,2008,0,,null,6,31.01,138117000,0,MEJORAMIENTO CIERROS PERIMETRALES ESCUELAS DE ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN CONTRATACION,30077834,,null,2008,300000,,null,6,31.01,150514000,0,"REPOSICION PAVIMENTOS 21 DE MAYO TRAMO  COLON  LYNCH, ARICA",,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,20191942,,null,2008,26882000,,null,3,31.01,23502000,0,"MEJORAMIENTO Y PUESTA EN VALOR MON. HISTORICO EX-ISLA DEL ALACRAN,AR (60 IQQ)",,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30004946,,null,2008,257855000,,null,6,31.01,24992000,0,"AMPLIACION CONSULTORIO ORIENTE  IRIS VELIZ HUME , ARICA",,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Salud
Gobierno Regional,TERMINADO O EN LIQUIDACION,30060212,,null,2008,43139000,,null,6,31.01,384000,0,"ADQUISICION VEHICULO  ESPECIAL PARA ALUMNOS  ESCUELA  F-22 ,ARICA",,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,POR LICITAR,30063255,,null,2008,1300000,,null,6,31.01,44112000,0,"AMPLIACION ESCUELA RURAL BASICA SOBRAYA G-28, ARICA",,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN ADJUDICACION,30073270,,null,2008,0,,null,6,31.01,89977000,0,"AMPLIACION CASA DEL ADULTO MAYOR,ARICA",,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN CONTRATACION,30074857,,null,2008,650000,,null,6,31.01,102583000,0,REPOSICION JUEGOS INFANTILES BALNEARIO LA LISERA DE ARICA,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN CONTRATACION,30045421,,null,2008,1036000,,null,6,31.01,50911000,0,null,,I. Municipalidad de Arica,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30072777,,null,2008,0,,null,6,31.01,322418000,0,ADQUISICION CAMIONES RECOLECTORES-COMPACTADORES PARA COMUNA ARICA,,Gobierno Regional,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN ADJUDICACION,30004142,,null,2008,0,,null,6,31.01,140050000,0,CONST ELECTRIFICACION RURAL CHAPISCA-SORA.V.LLUTA ARICA,,Gobierno Regional,Arica,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,20156373,,null,2008,550000,,null,6,31.01,54034000,0,MEJORAMIENTO PLAZA DE LA LOCALIDAD DE CODPA COMUNA DE CAMARONES,,I. Municipalidad de Camarones,Camarones,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,20191628,,null,2008,31529000,,null,6,31.01,12870000,0,"LEVANTAMIENTO DE INSTRUMENTO PLAN REGULADOR COMUNAL, COM. CAMARONES",,I. Municipalidad de Camarones,Camarones,"[{x:409992,y:7898113,ogc:32719}]",0,1,EJECUCION,Multisectorial
Gobierno Regional,EN REEVALUACION,20168911,,null,2008,648505000,,null,6,31.01,41308000,0,CONSTRUCCION ELECTRIFICACION SING COMUNA DE CAMARONES,,Gobierno Regional,Camarones,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,20190469,,null,2008,0,,null,6,31.01,870559000,0,CONSTRUCCION ELECTRIFICACION SING COMUNA DE GENERAL LAGOS,,Gobierno Regional,General Lagos,"[{x:432778,y:8047048,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30008387,,null,2008,0,,null,6,31.01,41421000,0,CONSTRUCCION SALA MULTIUSO ANCOLACANE,,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,30062780,,null,2008,0,,null,6,31.01,21355000,0,null,,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,30068311,,null,2008,0,,null,6,31.01,97987000,0,REPOSICION PARARRAYOS LOCALIDADES COMUNA DE GRAL. LAGOS,,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,Defensa y Seguridad
Gobierno Regional,EN EJECUCION,30073479,,null,2008,0,,null,6,31.01,48007000,0,"REPOSICION Y AMPLIACION SISTEMAS FOTOVOLTAICOS, ESTANCIAS GRAL LAGOS",,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30033674,,null,2008,32814000,,null,6,31.01,7282000,0,"CONSTRUCCION TECHADO DE PATIOS ESCUELA G-35 DE VISVIRI, GRAL. LAGOS",,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30059925,,null,2008,414000,,null,6,31.01,110423000,0,"CONSTRUCCION SALON DE EVENTOS, VISVIRI, COMUNA DE GENERAL LAGOS.",,I. Municipalidad de Gral Lagos,General Lagos,"[{x:449634,y:8054445,ogc:32719}]",0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,30061013,,null,2008,1000000,,null,6,31.01,94135000,0,"REPOSICION PLAZA PUBLICA DE VISVIRI, COMUNA DE GENERAL LAGOS",,I. Municipalidad de Gral Lagos,General Lagos,"[{x:449628,y:8054451,ogc:32719}]",0,1,EJECUCION,Multisectorial
Instituto de Desarrollo Agropecuario,null,24.416.560,,null,2011,0,,null,6,24.01,24651530,9,PROGRAMA DE DESARROLLO LOCAL (PRODESAL)/ ARICA,,Instituto de Desarrollo Agropecuario,ARICA,[],90,275,EJECUCION,Silvoagropecuario
Gobierno Regional,TERMINADO O EN LIQUIDACION,30066374,,null,2008,600000,,null,6,31.01,14887000,0,REPOSICION CAMIONETA 4X4 PARA LA COMUNA DE GRAL LAGOS,,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067435,,null,2008,103827000,,null,6,31.01,298000,0,ADQUISICION BULDOZER  PARA LA COMUNA DE GENERAL LAGOS.,,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067431,,null,2008,600000,,null,6,31.01,33236000,0,"ADQUISICION VEHICULO MULTIUSO, POSTAS DE SALUD RURAL GENERAL.",,I. Municipalidad de Gral Lagos,Arica,[],0,1,EJECUCION,Salud
Gobierno Regional,EN EJECUCION,30062702,,null,2008,0,,null,6,31.01,24604000,0,DIAGNOSTICO MULTISECTORIAL DEL DESARROLLO PRODUCTIVO EN GENERAL LAGOS,,I. Municipalidad de Gral Lagos,General Lagos,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30060233,,null,2008,0,,null,6,31.01,18391000,0,REPOSICION VEHICULO RONDA MEDICA DEL CONSULTORIO GRAL DE PUTRE,,I. Municipalidad de Putre,Arica,[],0,1,EJECUCION,Salud
Gobierno Regional,EN EJECUCION,30062390,,null,2008,0,,null,6,31.01,205464000,0,"AMPLIACION INTERNADO LICEO C-3, COMUNA DE PUTRE",,I. Municipalidad de Putre,Putre,"[{x:440788,y:7988101,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,EN ADJUDICACION,30062393,,null,2008,0,,null,6,31.01,35969000,0,CONSTRUCCION TECHADO DE  PATIO ESCUELA  E-43 TICNAMAR,,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,null
Instituto de la Juventud,null,,,null,2011,0,,20110217,6,24.01,20287339,0,Casa Integral de Juventud (CIJ),,Instituto de la Juventud,Regional,[],80,35,EJECUCION,null
Gobierno Regional,EN EJECUCION,30065041,,null,2008,0,,null,6,31.01,43342000,0,"CONSTRUCCION TECHADO DE PATIO ESC G-44 DE BELEN,  PUTRE",,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,null
Gobierno Regional,EN ADJUDICACION,30065057,,null,2008,0,,null,6,31.01,35303000,0,CONSTRUCCION TECHADO DE PATIO ESC.G-39 SOCOROMA,,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30069950,,null,2008,526000,,null,6,31.01,29514000,0,REPOSICION AMBULANCIA CONSULTORIO GRAL DE PUTRE,,I. Municipalidad de Putre,Arica,[],0,1,EJECUCION,Salud
Gobierno Regional,EN CONTRATACION,30036950,,null,2008,13343000,,null,6,31.01,111209000,0,"AMPLIACION INTERNADO ESCUELA E 43, TICNAMAR,COMUNA DE PUTRE",,I. Municipalidad de Putre,Putre,"[{x:447433,y:7945326,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30037154,,null,2008,33039000,,null,6,31.01,2911000,0,MEJORAMIENTO INTEGRAL SERVICIOS HIGIENICOS ESCUELAS  PUTRE,,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,null
Gobierno Regional,EN CONTRATACION,30037209,,null,2008,20724000,,null,6,31.01,7380000,0,"CONSTRUCCION SALA  APOYO TECNICOPEDAGOGICO, LICEO C-3, PUTRE, I REG.",,I. Municipalidad de Putre,Putre,"[{x:440933,y:7988102,ogc:32719}]",0,1,EJECUCION,null
Subsecretaria de Desarrollo Regional,PLAZO DE EJECUCION 180 DIAS,15201111001,,16,2011,0,,7777,6,33.03,10020000,9,null,,Subsecretaria de Desarrollo Regional,Putre,[],0,300,EJECUCION,Multisectorial
Instituto Nacional de Deportes,"TRANSFERENCIAS DE CAPITAL - APORTES A OTRAS ENTIDADES PUBLICAS= UNIVERSIDAD DE TARAPACA PROYECTO GRADERIAS UTAESTA INICIATIVA AUN NO SE REGISTRA EN MIDEPLAN - SE ENCUENTRA EN PROCESO DE ELABORACION ENTRE LOS EQUIPOS DE LA UTA Y EL IND.",30119148,,null,2011,0,,20120111,6,31.03,85000000,1,AMPLIACION GRADERIAS C DEPORTIVO RECREACIONAL - INTEGRAL UTA ,,Instituto Nacional de Deportes,Regional,"[{x:363424,y:7954987,ogc:32719}]",75969,89,EJECUCION,Deportes
Gobierno Regional,TERMINADO O EN LIQUIDACION,30046769,,null,2008,68718000,,null,6,31.01,750000,0,null,,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,Defensa y Seguridad
Gobierno Regional,TERMINADO O EN LIQUIDACION,30064247,,null,2008,52966000,,null,6,31.01,16674000,0,REPOSICION BUS ESCOLAR ESCUELAS DE LA COMUNA DE PUTRE (60 IQQ),,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30067607,,null,2008,54627000,,null,6,31.01,15719000,0,"CONSTRUCCION INFRAEST. EVENTOS MULTISECT, ADOSADO  LICEO  C-3, PUTRE",,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,TERMINADO O EN LIQUIDACION,30084037,,null,2008,0,,null,6,31.01,69640000,0,REPOSICION BUS ESCOLAR ESCUELAS DE LA COMUNA DE PUTRE,,I. Municipalidad de Putre,Putre,[],0,1,EJECUCION,null
Gobierno Regional,EN LICITACION,30065797,,null,2008,0,,null,3,31.01,2148000,0,CONSTRUCCION OBRAS DE RELOCALIZACION CALETA PESQUERA ARICA (PREFACT),,null,Arica,"[{x:361291,y:7957273,ogc:32719}]",0,1,EJECUCION,Pesca
Gobierno Regional,EN EJECUCION,30064460,,null,2008,41769000,,null,6,31.01,8303000,0,"EQUIPAMIENTO UNIDAD ANTINARCOTICOS PICH CHACALLUTA, ARICA",,null,Arica,[],0,1,EJECUCION,Defensa y Seguridad
Gobierno Regional,POR LICITAR,20179740,,null,2008,0,,null,6,31.01,1109000,0,REPOSICION OFICINA REGISTRO CIVIL E IDENTIFICACION DE CODPA,,null,Camarones,[],0,1,EJECUCION,Justicia
Gobierno Regional,EN EJECUCION,30036909,,null,2008,69314000,,null,6,31.02,75172000,0,null,,Seremi de Agricultura,Regional,[],0,1,EJECUCION,Silvoagropecuario
